Code,Human Development Index (UNDP),Country Name,min_SG.LAW.INDX,max_SG.LAW.INDX,min_SG.GEN.PARL.ZS,max_SG.GEN.PARL.ZS
KGZ,0.672,Kyrgyz Republic,61.25,76.875,0,25.5555555555556
LAO,0.601,Lao PDR,68.125,88.125,21.2121212121212,27.5167785234899
LVA,0.847,Latvia,67.5,100,16,31
LBN,0.757,Lebanon,50,58.75,2.34375,4.6875
LSO,0.52,Lesotho,43.125,78.125,3.79746835443038,26.6666666666667
LBR,0.435,Liberia,63.75,81.25,5.26315789473684,12.5
LBY,0.706,Libya,38.75,50,4.73684210526316,16.5
LTU,0.858,Lithuania,73.75,93.75,10.6382978723404,27.6595744680851
LUX,0.904,Luxembourg,83.125,100,16.6666666666667,35
MDG,0.519,Madagascar,45.625,71.875,3.75,20.5298013245033
MWI,0.477,Malawi,56.875,77.5,9.32642487046632,22.9166666666667
MYS,0.802,Malaysia,46.875,50,9.1324200913242,14.8648648648649
MDV,0.717,Maldives,44.375,73.75,4.59770114942529,12
MLI,0.427,Mali,49.375,60.625,8.84353741496599,27.891156462585
MLT,0.878,Malta,60,88.75,7.69230769230769,14.9253731343284
MHL,0.708,Marshall Islands,53.75,65.625,3.03030303030303,9.09090909090909
MRT,0.52,Mauritania,38.75,48.125,3.7037037037037,25.1700680272109
MUS,0.79,Mauritius,69.375,89.375,5.71428571428571,20
MEX,0.774,Mexico,72.5,88.75,16,50
FSM,0.627,"Micronesia, Fed. Sts.",58.75,61.25,0,7.14285714285714
MDA,0.7,Moldova,66.875,87.5,7.92079207920792,39.6039603960396
MNG,0.741,Mongolia,67.5,85,3.94736842105263,17.3333333333333
MNE,0.814,Montenegro,61.25,85,8.64197530864197,28.3950617283951
MAR,0.667,Morocco,44.375,75.625,0.615384615384615,22.7848101265823
MOZ,0.437,Mozambique,36.25,82.5,30,42.4
MMR,0.578,Myanmar,53.75,58.75,3.54430379746835,16.8253968253968
"NAM",0.647,Namibia,71.25,86.25,24.3589743589744,46.1538461538462
NPL,0.574,Nepal,39.375,80.625,5.85365853658537,33.1649831649832
NLD,0.931,Netherlands,89.375,97.5,31.3333333333333,42
NZL,0.917,New Zealand,86.875,97.5,28.3333333333333,49.1666666666667
NIC,0.658,Nicaragua,63.75,86.25,9.67741935483871,50.5494505494505
NER,0.354,Niger,47.5,56.875,1.20481927710843,25.9036144578313
NGA,0.532,Nigeria,54.375,63.125,3.38028169014084,7.22222222222222
MKD,0.757,North Macedonia,70.625,85,6.66666666666667,41.6666666666667
NOR,0.953,Norway,88.125,96.875,35.7575757575758,44.9704142011834
OMN,0.821,Oman,29.375,38.75,0,2.40963855421687
PAK,0.562,Pakistan,38.125,55.625,20.1754385964912,22.5146198830409
PLW,0.798,Palau,53.75,56.25,0,12.5
PAN,0.789,Panama,68.125,79.375,8.45070422535211,22.5352112676056
PNG,0.544,Papua New Guinea,57.5,60,0,2.7027027027027
PRY,0.702,Paraguay,89.375,94.375,2.5,17.5
PER,0.75,Peru,80.625,95,18.3333333333333,40
PHL,0.699,Philippines,70,78.75,11.2612612612613,29.7945205479452
POL,0.865,Poland,66.875,93.75,13.0434782608696,28.695652173913
PRT,0.847,Portugal,79.375,100,17.3913043478261,40
QAT,0.856,Qatar,26.25,29.375,0,9.75609756097561
ROU,0.811,Romania,70,90.625,9.39393939393939,21.8844984802432
RUS,0.816,Russian Federation,70,73.125,7.57238307349666,16.2222222222222
RWA,0.524,Rwanda,51.875,83.75,25.6756756756757,63.75
KNA,0.778,St. Kitts and Nevis,71.25,71.25,0,25
LCA,0.747,St. Lucia,80.625,83.75,0,16.6666666666667
VCT,0.723,St. Vincent and the Grenadines,65.625,68.125,4.76190476190476,22.7272727272727
WSM,0.713,Samoa,49.375,75,4.08163265306122,10
STP,0.589,Sao Tome and Principe,53.75,83.125,1.81818181818182,23.6363636363636
SAU,0.853,Saudi Arabia,23.75,80,0,19.8675496688742
SEN,0.505,Senegal,63.75,66.875,12.1428571428571,43.3333333333333
SRB,0.787,Serbia,70.625,96.875,12,39.2
SYC,0.797,Seychelles,73.75,76.25,21.2121212121212,43.75
SLE,0.419,Sierra Leone,31.875,72.5,8.75,14.5161290322581
SGP,0.932,Singapore,66.25,82.5,4.3010752688172,29.8076923076923
SVK,0.855,Slovak Republic,63.75,94.375,14,22.6666666666667
SVN,0.896,Slovenia,64.375,96.875,12.2222222222222,36.6666666666667
SLB,0.546,Solomon Islands,54.375,56.875,0,8
ZAF,0.699,South Africa,76.25,88.125,29.8245614035088,46.75
KOR,0.903,"Korea, Rep.",66.25,85,5.86080586080586,19
SSD,0.388,South Sudan,43.75,67.5,26.5060240963855,32.3636363636364
ESP,0.891,Spain,94.375,100,28.2857142857143,44
LKA,0.77,Sri Lanka,63.125,65.625,4.44444444444444,5.77777777777778
SDN,0.502,Sudan,26.25,29.375,9.72222222222222,30.5164319248826
SUR,0.72,Suriname,63.125,73.75,9.80392156862745,31.3725490196078
SWE,0.933,Sweden,90.625,100,42.6934097421203,47.2779369627507
CHE,0.944,Switzerland,78.125,88.125,23,42.5
SYR,0.536,Syrian Arab Republic,28.75,40,10.4,13.2
TJK,0.65,Tajikistan,70,78.75,12.6984126984127,23.8095238095238
TZA,0.538,Tanzania,67.5,81.25,21.3559322033898,37.1794871794872
THA,0.755,Thailand,63.75,78.125,4.8,16.2
TLS,0.625,Timor-Leste,40.625,86.25,25.2873563218391,38.4615384615385
TGO,0.503,Togo,51.25,84.375,4.9382716049382704,18.6813186813187
TON,0.726,Tonga,50,58.75,0,7.69230769230769
TTO,0.784,Trinidad and Tobago,63.125,75,11.1111111111111,30.952380952381
TUN,0.735,Tunisia,55.625,64.375,11.5384615384615,31.3364055299539
TUR,0.791,Turkiye,48.75,82.5,4.18181818181818,17.4496644295302
UGA,0.516,Uganda,46.875,73.125,17.7935943060498,34.9740932642487
UKR,0.751,Ukraine,66.875,85,5.33333333333333,20.8037825059102
ARE,0.863,United Arab Emirates,26.875,82.5,0,50
GBR,0.922,United Kingdom,86.25,97.5,17.9059180576631,34.2592592592593
USA,0.924,United States,83.75,91.25,13.7931034482759,27.6497695852535
URY,0.804,Uruguay,68.125,88.75,11.1111111111111,24.2424242424242
UZB,0.71,Uzbekistan,64.375,70.625,7.2,32.6530612244898
VUT,0.603,Vanuatu,53.125,55.625,0,3.84615384615385
VEN,0.761,"Venezuela, RB",68.125,85,9.6969696969697,22.1556886227545
VNM,0.694,Vietnam,64.375,85,24.2971887550201,30.2605210420842
YEM,0.452,"Yemen, Rep.",23.75,26.875,0,0.668896321070234
ZMB,0.588,Zambia,60.625,81.25,10.126582278481,17.9640718562874
ZWE,0.535,Zimbabwe,70,86.875,9.33333333333333,32.5757575757576
